scale,dataset,sample_id,sample_index,rank,candidate_index,candidate_id,candidate_label,distance,is_same_label,is_random4
144k,vggss,-2Dm0VjW8oM_000001,4,3,814,7fLnFGd79-s_000018,chipmunk chirping,2.1492949599632993e-05,False,False
144k,vggss,-2Dm0VjW8oM_000001,4,4,4805,tYCgvipu3ko_000043,snake rattling,2.2570635337615386e-05,False,False
144k,vggss,-2sOH8XovEE_000484,5,1,1711,HNtNFaXeYQ4_000140,playing harp,1.6546700862818398e-05,False,False
144k,vggss,-2sOH8XovEE_000484,5,2,994,9jrTswHdg4I_000290,hair dryer drying,2.2189144146977924e-05,False,False
144k,vggss,-2sOH8XovEE_000484,5,3,724,6azSzS5ZjN0_000051,disc scratching,2.347960435145069e-05,False,False
144k,vggss,-2sOH8XovEE_000484,5,4,2644,SNhfvhWPXNc_000030,playing electric guitar,2.57221981883049e-05,False,False
144k,vggss,-3Kv4fdm7Uk_000030,6,1,1488,EUXUKCqUKyo_000005,playing shofar,3.405815004953183e-05,False,False
144k,vggss,-3Kv4fdm7Uk_000030,6,2,2581,RcVJVUfXWgU_000120,playing hammond organ,4.204669676255435e-05,False,False
144k,vggss,-3Kv4fdm7Uk_000030,6,3,776,784FrdBASsk_000097,playing theremin,5.742106804973446e-05,False,False
144k,vggss,-3Kv4fdm7Uk_000030,6,4,2687,Swien0oGl7o_000090,playing banjo,9.329278691438958e-05,False,False
144k,vggss,-4bPiXbovf0_000008,7,1,1985,KTHsyIQI2L0_000200,dog growling,7.681579518248327e-06,False,False
144k,vggss,-4bPiXbovf0_000008,7,2,94,-u-40BIU1HE_000003,cat hissing,9.919906915456522e-06,False,False
144k,vggss,-4bPiXbovf0_000008,7,3,320,29dwfsI1XlQ_000006,cat hissing,1.0392930562375113e-05,False,False
144k,vggss,-4bPiXbovf0_000008,7,4,4364,n1VpqsLRy1E_000006,gibbon howling,1.2298795809329022e-05,False,False
144k,vggss,-5CGQGSFGyg_000060,8,1,2791,UFyOGqmITjM_000000,"playing violin, fiddle",4.225632801535539e-05,False,False
144k,vggss,-5CGQGSFGyg_000060,8,2,169,0apGJGFHQO4_000067,"playing violin, fiddle",5.8763449487742037e-05,False,False
144k,vggss,-5CGQGSFGyg_000060,8,3,3836,fwFuuaK8WqE_000332,playing cornet,7.062782242428511e-05,False,True
144k,vggss,-5CGQGSFGyg_000060,8,4,1016,9zPrLhdmgpg_000031,slot machine,0.0001004317236947827,False,False
144k,vggss,-5z9IXBJefc_000227,9,1,1443,E2DcawleYIY_000030,playing electronic organ,8.165564395312686e-06,False,False
144k,vggss,-5z9IXBJefc_000227,9,2,2379,P5tsRM1iokA_000030,"playing steel guitar, slide guitar",1.0194337846769486e-05,False,True
144k,vggss,-5z9IXBJefc_000227,9,3,3662,dpTKSxH3asA_000030,playing electronic organ,1.2265078112250194e-05,False,False
144k,vggss,-5z9IXBJefc_000227,9,4,4015,iCIa_pmLDqs_000030,playing banjo,1.702280314930249e-05,False,False
144k,vggss,-79qo5MUYBk_000207,10,1,339,2MKPKDQcgVc_000036,train wheels squealing,1.1080818694608752e-05,False,False
144k,vggss,-79qo5MUYBk_000207,10,2,2471,QHPJK945JVg_000010,reversing beeps,1.7588088667253032e-05,False,False
144k,vggss,-79qo5MUYBk_000207,10,3,2096,LhRNnXaSsCk_000030,driving buses,1.7740398106980138e-05,False,False
144k,vggss,-79qo5MUYBk_000207,10,4,3453,b7-9-67LlGw_000106,chinchilla barking,2.2240099497139454e-05,False,False
144k,vggss,-7TanrCbmME_000030,11,1,4031,iWiNV03Wa6Y_000072,snake hissing,3.560087861842476e-05,False,True
144k,vggss,-7TanrCbmME_000030,11,2,2129,M83C5w1YAdc_000010,people whistling,4.3833610106958076e-05,False,False
144k,vggss,-7TanrCbmME_000030,11,3,3487,bcBixpb5TdI_000113,pheasant crowing,4.880175765720196e-05,False,False
144k,vggss,-7TanrCbmME_000030,11,4,4033,iY6gP4y8Shk_000010,people hiccup,5.0498147174948826e-05,False,False
144k,vggss,-7sg--aJdrc_000049,12,1,2622,S6R2DpF6zzM_000060,baltimore oriole calling,6.601463155675447e-06,False,False
144k,vggss,-7sg--aJdrc_000049,12,2,263,1_xoCNmTn3Y_000012,coyote howling,7.301218374777818e-06,False,False
144k,vggss,-7sg--aJdrc_000049,12,3,2111,LwZNG7Uuu7g_000079,sheep bleating,8.054339559748769e-06,False,False
144k,vggss,-7sg--aJdrc_000049,12,4,1434,Dvq1kY70ip4_000025,snake hissing,8.480716132908128e-06,False,False
144k,vggss,-7tYmeOmsRg_000058,13,1,1665,GvRM_UnjJoE_000030,horse clip-clop,1.5738816728116944e-05,False,False
144k,vggss,-7tYmeOmsRg_000058,13,2,3576,ce_9wpa4mQw_000230,sheep bleating,1.6687088645994663e-05,False,False
144k,vggss,-7tYmeOmsRg_000058,13,3,443,3Pfu7BPWvL8_000036,children shouting,1.669799348746892e-05,False,False
144k,vggss,-7tYmeOmsRg_000058,13,4,1477,EOKUV6hgMhM_000122,helicopter,1.856844210124109e-05,False,False
144k,vggss,-7tYmeOmsRg_000180,14,1,5055,y1DgTYLdesA_000136,beat boxing,3.737262522918172e-05,False,False
144k,vggss,-7tYmeOmsRg_000180,14,2,3337,_snV8otOVmg_000293,squishing water,7.876854215282947e-05,False,False
144k,vggss,-7tYmeOmsRg_000180,14,3,1414,DjqOjkoVu3M_000153,alarm clock ringing,8.471551700495183e-05,False,False
144k,vggss,-7tYmeOmsRg_000180,14,4,5011,xN-nKHyKx3E_000504,playing snare drum,8.502506534568965e-05,False,True
144k,vggss,-86gl1hp1Aw_000105,15,1,4729,ryskM4LGrtk_000530,playing tambourine,7.438270131387981e-06,False,False
144k,vggss,-86gl1hp1Aw_000105,15,2,3532,c3OHPJY7nhA_000022,snake hissing,1.000331758405082e-05,False,False
144k,vggss,-86gl1hp1Aw_000105,15,3,2250,NSEzNYgLuAs_000077,children shouting,1.0663104148989078e-05,False,False
144k,vggss,-86gl1hp1Aw_000105,15,4,2126,M7NvD1WJQ7o_000070,"engine accelerating, revving, vroom",1.2686255104199518e-05,False,False
144k,vggss,-8cgbhIR_pw_000030,16,1,4769,snR9TvRupjU_000000,cat caterwauling,1.27612456708448e-05,False,False
144k,vggss,-8cgbhIR_pw_000030,16,2,4060,ixscoaWEEnQ_000104,people eating crisps,1.5505867850151844e-05,False,False
144k,vggss,-8cgbhIR_pw_000030,16,3,673,63xbVEyvD24_000030,child singing,1.941706614161376e-05,False,False
144k,vggss,-8cgbhIR_pw_000030,16,4,1179,BQPk4cmN__4_000030,dog barking,2.1061432562419213e-05,False,False
144k,vggss,-A3zsFeU_OI_000030,17,1,4990,wuIdKobdk7g_000017,playing bass drum,1.1919337339350022e-05,False,False
144k,vggss,-A3zsFeU_OI_000030,17,2,5083,ye0GZg0oR_I_000045,yodelling,1.67804719239939e-05,False,True
144k,vggss,-A3zsFeU_OI_000030,17,3,4667,rCB9BicDeyE_000056,alarm clock ringing,1.9480094124446623e-05,False,False
144k,vggss,-A3zsFeU_OI_000030,17,4,1855,InrS4Fdndr4_000000,fire truck siren,2.223790215793997e-05,False,False
144k,vggss,-ANxUxvGASw_000010,18,1,2166,MUC3GjvBI7I_000030,horse clip-clop,1.1499398169689812e-05,False,False
144k,vggss,-ANxUxvGASw_000010,18,2,4828,tnepPZChA5U_000219,"playing violin, fiddle",1.534419243398588e-05,False,False
144k,vggss,-ANxUxvGASw_000010,18,3,4865,uInycnRkFYk_000051,snake rattling,1.628296377020888e-05,False,False
144k,vggss,-ANxUxvGASw_000010,18,4,2678,SmzESvmFENY_000024,"fly, housefly buzzing",1.664657611399889e-05,False,False
144k,vggss,-ByoSbgzr4M_000000,19,1,1135,B-1QW7g81gA_000030,playing mandolin,0.00010479786578798667,False,False
144k,vggss,-ByoSbgzr4M_000000,19,2,4472,oYEzy8gH6q8_000030,tapping guitar,0.00010645745351212099,True,False
144k,vggss,-ByoSbgzr4M_000000,19,3,2868,VBQPcmmUkkg_000010,playing harpsichord,0.00014742565690539777,False,True
144k,vggss,-ByoSbgzr4M_000000,19,4,4928,vchsE_Dn7mo_000147,playing timbales,0.0001566607825225219,False,True
144k,vggss,-CZ1LIc8aos_000020,20,1,5028,xanOeYcQpcM_000020,lawn mowing,1.566979153722059e-05,False,False
144k,vggss,-CZ1LIc8aos_000020,20,2,139,0K92tp-4GEk_000108,bathroom ventilation fan running,2.4956327251857147e-05,False,False
144k,vggss,-CZ1LIc8aos_000020,20,3,2594,Rj8hpFBBSi0_000092,snake rattling,3.0108618375379592e-05,False,False
144k,vggss,-CZ1LIc8aos_000020,20,4,261,1_Q80fDGLRM_000010,dog barking,3.7175468605710194e-05,False,False
144k,vggss,-Cr0WQoFQQs_000045,21,1,4897,v0a6jM7PALg_000239,dog baying,4.391106358525576e-06,False,False
144k,vggss,-Cr0WQoFQQs_000045,21,2,2061,LCFNAzdifzU_000003,people gargling,5.004961167287547e-06,False,False
144k,vggss,-Cr0WQoFQQs_000045,21,3,2721,TRW3OqA1cXE_000030,playing clarinet,8.481904842483345e-06,False,False
144k,vggss,-Cr0WQoFQQs_000045,21,4,4857,uAcYglB_pRw_000390,bird wings flapping,9.429139026906341e-06,False,True
144k,vggss,-Cv3gOXEoxA_000040,22,1,3524,bzHZ7yvmVMk_000138,dinosaurs bellowing,1.6187657820410095e-05,False,True
144k,vggss,-Cv3gOXEoxA_000040,22,2,1186,BT2JPFpMrzM_000002,lions growling,2.1874398953514174e-05,False,False
144k,vggss,-Cv3gOXEoxA_000040,22,3,2779,UAlfXv5Aabc_000046,air conditioning noise,2.266218143631704e-05,False,False
144k,vggss,-Cv3gOXEoxA_000040,22,4,1042,ACjLm_tKyu8_000060,electric grinder grinding,2.3453854737454094e-05,False,False
144k,vggss,-D64b_8YJK4_000046,23,1,2648,SSor5MN-QJM_000056,barn swallow calling,4.626644567906624e-06,True,False
144k,vggss,-D64b_8YJK4_000046,23,2,1061,AKmkhvb9shk_000000,baltimore oriole calling,1.4447205103351735e-05,False,False
144k,vggss,-D64b_8YJK4_000046,23,3,2028,KuLE8odpCc8_000100,typing on computer keyboard,1.4513740097754635e-05,False,False
144k,vggss,-D64b_8YJK4_000046,23,4,1231,Bw_fNvTp6jg_000030,"engine accelerating, revving, vroom",1.5060193618410267e-05,False,False
144k,vggss,-E5o64ACjm0_000017,24,1,3666,dqu_dkIqqrw_000085,lathe spinning,2.6331035769544542e-05,True,False
144k,vggss,-E5o64ACjm0_000017,24,2,4073,j6s-UMrMIE8_000190,snake hissing,4.0374681702814996e-05,False,False
144k,vggss,-E5o64ACjm0_000017,24,3,2177,M_3Mk2nMydQ_000030,vacuum cleaner cleaning floors,4.622151391231455e-05,False,False
144k,vggss,-E5o64ACjm0_000017,24,4,3349,a1THgU6-Wj0_000440,tractor digging,5.306124876369722e-05,False,False
144k,vggss,-FoTxwPOz3U_000000,25,1,4234,lF1C6JSDZJU_000209,disc scratching,1.3304828826221637e-05,False,False
144k,vggss,-FoTxwPOz3U_000000,25,2,4739,s9GDIk99v54_000045,playing bassoon,2.372689596086275e-05,False,False
144k,vggss,-FoTxwPOz3U_000000,25,3,2356,OkAT5LKBbIE_000190,dog bow-wow,3.303665289422497e-05,False,False
144k,vggss,-FoTxwPOz3U_000000,25,4,4433,ny11DBcW3hI_000019,playing timbales,3.791344352066517e-05,False,False
144k,vggss,-GOaBCyC5Js_000087,26,1,1685,HALbfdYE3hM_000215,playing oboe,1.5404404621222056e-05,False,False
144k,vggss,-GOaBCyC5Js_000087,26,2,4475,oaKEAU7SoCE_000030,playing harmonica,1.5716912457719445e-05,False,True
144k,vggss,-GOaBCyC5Js_000087,26,3,3043,XIohMvtR0Og_000030,people shuffling,2.4206643502111547e-05,False,False
144k,vggss,-GOaBCyC5Js_000087,26,4,1135,B-1QW7g81gA_000030,playing mandolin,2.4335757188964635e-05,False,True
144k,vggss,-GW1J75oAKU_000304,27,1,4385,nCqe6N5e__0_000000,playing oboe,1.8552995243226178e-05,False,False
144k,vggss,-GW1J75oAKU_000304,27,2,661,5uUROIui4Z0_000002,"ice cream truck, ice cream van",4.2460524127818644e-05,False,False
144k,vggss,-GW1J75oAKU_000304,27,3,126,0E6KS8B6DMc_000540,playing bass drum,5.233969568507746e-05,False,False
144k,vggss,-GW1J75oAKU_000304,27,4,743,6mbQDmij4oQ_000010,playing washboard,5.8122190239373595e-05,False,False
144k,vggss,-HMEhGV38GM_000216,28,1,4336,mcrf1Mb99d4_000068,playing tympani,2.4735836632316932e-05,False,False
144k,vggss,-HMEhGV38GM_000216,28,2,587,55L7peYRB_Q_000120,using sewing machines,3.5663902963278815e-05,False,False
144k,vggss,-HMEhGV38GM_000216,28,3,2138,MDa1ZVdDz2Y_000060,splashing water,3.8106372812762856e-05,False,False
144k,vggss,-HMEhGV38GM_000216,28,4,2916,VmYPBzrkKGw_000140,playing oboe,4.1693470848258585e-05,False,False
144k,vggss,-IKnJa9U66I_000150,29,1,3340,_w8u8H6TP_o_000000,reversing beeps,4.711619112640619e-05,False,False
144k,vggss,-IKnJa9U66I_000150,29,2,1215,BioGVnRl7OE_000127,barn swallow calling,5.351539221010171e-05,False,False
144k,vggss,-IKnJa9U66I_000150,29,3,3187,ZECeW7EAQtM_000010,driving buses,6.537802255479619e-05,False,False
144k,vggss,-IKnJa9U66I_000150,29,4,1796,IFclJMPODCA_000221,blowtorch igniting,7.047096005408093e-05,False,False
144k,vggss,-Igq1W20Gi8_000000,30,1,376,2g5hx_rynAI_000035,playing shofar,9.716606655274518e-06,False,False
144k,vggss,-Igq1W20Gi8_000000,30,2,4475,oaKEAU7SoCE_000030,playing harmonica,1.0119671060238034e-05,False,False
144k,vggss,-Igq1W20Gi8_000000,30,3,639,5g20l907PQM_000028,playing djembe,1.1865516171383206e-05,False,False
144k,vggss,-Igq1W20Gi8_000000,30,4,969,9TzyRdTYDvo_000024,dog growling,1.6070900528575294e-05,False,False
144k,vggss,-JGpAlLrSD0_000458,31,1,806,7Soo7mXCnq0_000063,airplane flyby,1.4691692740598228e-05,False,True
144k,vggss,-JGpAlLrSD0_000458,31,2,2309,O8DtnVJN_dY_000030,fire truck siren,1.9102662918157876e-05,False,False
144k,vggss,-JGpAlLrSD0_000458,31,3,3049,XQXsAZJqDig_000030,"pigeon, dove cooing",2.0204191969241947e-05,False,False
144k,vggss,-JGpAlLrSD0_000458,31,4,580,5-FHy1Q61n8_000114,dog baying,2.079245496133808e-05,False,False
144k,vggss,-JUBdOr8Hes_000030,32,1,1482,EQKs1YLMUuI_000004,playing oboe,1.6698166291462258e-05,False,False
144k,vggss,-JUBdOr8Hes_000030,32,2,1640,GhEPMDQZ174_000030,playing harpsichord,1.900570532598067e-05,False,False
144k,vggss,-JUBdOr8Hes_000030,32,3,311,253aGgk7NSE_000010,playing bugle,2.0952542399754748e-05,False,False
144k,vggss,-JUBdOr8Hes_000030,32,4,2510,Qm8bAH-0y3E_000024,yodelling,2.264336944790557e-05,False,True
144k,vggss,-JUhUI_KvUI_000026,33,1,2966,WTQhmOYZNJQ_000024,people booing,5.405323008744745e-06,False,False
144k,vggss,-JUhUI_KvUI_000026,33,2,2579,RZlDaLFuxxQ_000046,chipmunk chirping,5.847961801919155e-06,False,False
144k,vggss,-JUhUI_KvUI_000026,33,3,846,80Lqw4-iQXI_000001,turkey gobbling,6.872002359159524e-06,False,False
144k,vggss,-JUhUI_KvUI_000026,33,4,120,077aWlQn6XI_000030,reversing beeps,8.282899216283113e-06,False,False
144k,vggss,-K-ccLMFE5M_000259,34,1,795,7OqsePnrOSo_000061,magpie calling,6.7885080170526635e-06,False,False
144k,vggss,-K-ccLMFE5M_000259,34,2,3830,ftxxMmqrYQ8_000003,snake rattling,6.886426945129642e-06,False,False
144k,vggss,-K-ccLMFE5M_000259,34,3,2931,W1VYWwYdJRQ_000370,chainsawing trees,7.917237780930009e-06,False,False
144k,vggss,-K-ccLMFE5M_000259,34,4,451,3T3hm1hHCto_000228,snake rattling,1.0430393558635842e-05,False,False
144k,vggss,-K1BRF6qng8_000030,35,1,4680,rNQ0EBdxPvM_000030,using sewing machines,1.6243777281488292e-05,False,False
144k,vggss,-K1BRF6qng8_000030,35,2,4827,tm0Em1IlvsA_000318,people eating apple,1.7361051504849456e-05,False,True
144k,vggss,-K1BRF6qng8_000030,35,3,4762,sbkfFiRlJXc_000021,owl hooting,1.9437176888459362e-05,False,False
144k,vggss,-K1BRF6qng8_000030,35,4,1181,BR3U7WaCP-4_000005,people nose blowing,2.2482343410956673e-05,False,False
144k,vggss,-KBH8YmHR-0_000050,36,1,2657,SXeSsEP3ieo_000145,elk bugling,1.3253881661512423e-05,False,False
144k,vggss,-KBH8YmHR-0_000050,36,2,3054,XUCh79kkapE_000049,penguins braying,1.7677561118034646e-05,False,False
144k,vggss,-KBH8YmHR-0_000050,36,3,2737,TdGJdqDxrNc_000091,baltimore oriole calling,1.8431346688885242e-05,False,False
144k,vggss,-KBH8YmHR-0_000050,36,4,4522,pKG3RMK__dc_000110,car passing by,1.8854745576390997e-05,False,False
144k,vggss,-Lmibx_Iu_E_000173,37,1,2839,UrluLxHLwQM_000110,toilet flushing,5.412689915829105e-06,False,False
144k,vggss,-Lmibx_Iu_E_000173,37,2,4119,jqqjc0XrU58_000092,playing djembe,6.940209004824283e-06,False,False
144k,vggss,-Lmibx_Iu_E_000173,37,3,2074,LN92tji7ADA_000002,opening or closing car electric windows,7.432290203723824e-06,False,True
144k,vggss,-Lmibx_Iu_E_000173,37,4,2086,LataVY-O5FA_000063,disc scratching,8.054475074459333e-06,False,False
144k,vggss,-Lv13WPa4xk_000170,38,1,3850,g3J2VYx8zYE_000060,train whistling,7.783105502312537e-06,False,False
144k,vggss,-Lv13WPa4xk_000170,38,2,2036,Kz4SvP0c_VE_000019,magpie calling,1.5009346498118248e-05,False,False
144k,vggss,-Lv13WPa4xk_000170,38,3,4670,rI99Dvpxo2w_000131,train whistling,1.615491055417806e-05,False,False
144k,vggss,-Lv13WPa4xk_000170,38,4,2959,WLX3Db60418_000020,driving motorcycle,1.6556083210161887e-05,False,False
144k,vggss,-N00SskHxS4_000529,39,1,2038,KzvdKLdBw3s_000060,"female speech, woman speaking",5.223579137236811e-06,False,False
144k,vggss,-N00SskHxS4_000529,39,2,4535,pUn8YqN2meU_000059,playing cornet,6.097972345742164e-06,False,False
144k,vggss,-N00SskHxS4_000529,39,3,34,-K-ccLMFE5M_000259,people marching,3.354161526658572e-05,False,True
144k,vggss,-N00SskHxS4_000529,39,4,286,1obzCbmFpa8_000410,people giggling,4.92776271130424e-05,False,False
144k,vggss,-NCa3eFLULw_000221,40,1,4976,wgT4rbZ5kvc_000022,people burping,1.1144404197693802e-05,False,False
144k,vggss,-NCa3eFLULw_000221,40,2,2433,PlF1Z9YWZck_000075,elephant trumpeting,1.2287337995076086e-05,False,False
144k,vggss,-NCa3eFLULw_000221,40,3,1689,HDWZu2roOgU_000032,people giggling,1.2709580914815888e-05,False,False
144k,vggss,-NCa3eFLULw_000221,40,4,4162,kQ7tkcg8Xag_000300,people marching,1.2923300346301403e-05,False,False
144k,vggss,-NwBdmVSg1w_000000,41,1,1033,A9n6gH2uS5U_000019,cat growling,1.8877737602451816e-05,False,True
144k,vggss,-NwBdmVSg1w_000000,41,2,3552,cK9JgR-LGfU_000046,"alligators, crocodiles hissing",2.114164635713678e-05,False,False
144k,vggss,-NwBdmVSg1w_000000,41,3,4210,l-iIfi3SNpw_000120,people screaming,3.12946540361736e-05,False,False
144k,vggss,-NwBdmVSg1w_000000,41,4,5085,yfcMvoqT0iM_000073,air conditioning noise,3.169609044562094e-05,False,False
144k,vggss,-OAyRsvFGgc_000030,42,1,4273,lsAu4_RaXHU_000020,playing harmonica,9.283793588110711e-06,False,False
144k,vggss,-OAyRsvFGgc_000030,42,2,4840,tyjP12Yob3I_000044,cow lowing,9.83608333626762e-06,False,False
144k,vggss,-OAyRsvFGgc_000030,42,3,3158,Ykv1CiXNXLQ_000134,yodelling,1.3760625733993948e-05,False,False
144k,vggss,-OAyRsvFGgc_000030,42,4,11,-7TanrCbmME_000030,child singing,1.4670539712824393e-05,False,False
144k,vggss,-OVb-UG8yJw_000030,43,1,58,-_QPd-VskKY_000030,mouse squeaking,2.121008037647698e-05,False,False
144k,vggss,-OVb-UG8yJw_000030,43,2,2362,OnRh-5IRG3A_000000,machine gun shooting,2.7939122446696274e-05,False,False
144k,vggss,-OVb-UG8yJw_000030,43,3,4470,oT8Vg7egGwI_000077,people booing,2.8875878342660144e-05,False,False
144k,vggss,-OVb-UG8yJw_000030,43,4,2082,LVYHbuggoj8_000050,missile launch,3.204790846211836e-05,False,False
144k,vggss,-PvlrLjIAYo_000009,44,1,1463,ECVfSkmVy5Y_000001,elk bugling,1.2646193681575824e-05,False,False
144k,vggss,-PvlrLjIAYo_000009,44,2,116,052VMqTM4Xs_000000,"donkey, ass braying",1.6075324310804717e-05,False,False
144k,vggss,-PvlrLjIAYo_000009,44,3,487,3uLmjElob2Q_000004,cuckoo bird calling,1.6498745026183315e-05,False,False
144k,vggss,-PvlrLjIAYo_000009,44,4,1200,BaBT2r8L6E4_000013,"pigeon, dove cooing",1.9287841496407054e-05,False,False
144k,vggss,-Q3MX7Tgx_E_000111,45,1,3301,_X69MdLl5rU_000176,dog bow-wow,3.495907731121406e-05,False,False
144k,vggss,-Q3MX7Tgx_E_000111,45,2,1119,Ar5r0pzgaRU_000030,cat purring,4.543121031019837e-05,False,False
144k,vggss,-Q3MX7Tgx_E_000111,45,3,3298,_U8kAFAm8tQ_000030,lighting firecrackers,4.602086846716702e-05,False,False
144k,vggss,-Q3MX7Tgx_E_000111,45,4,4073,j6s-UMrMIE8_000190,snake hissing,5.728016549255699e-05,False,False
144k,vggss,-RBs9pPhHY8_000030,46,1,379,2kQCMxf0onU_000036,cat hissing,1.256805808225181e-05,False,False
144k,vggss,-RBs9pPhHY8_000030,46,2,164,0XDEooC1h7s_000000,cow lowing,1.3059076081844978e-05,False,False
144k,vggss,-RBs9pPhHY8_000030,46,3,619,5MMIZJ0zCZk_000030,goat bleating,1.4521314369631e-05,False,False
144k,vggss,-RBs9pPhHY8_000030,46,4,3147,YY3DY_U9oBk_000049,warbler chirping,1.5385214283014648e-05,False,False
144k,vggss,-S-TDT5oq0Q_000290,47,1,5136,zgR4fR2nPvM_000139,tractor digging,1.1675597306748386e-05,False,False
144k,vggss,-S-TDT5oq0Q_000290,47,2,4184,kiAMVnSBGw0_000030,"male speech, man speaking",1.2830272680730559e-05,False,False
144k,vggss,-S-TDT5oq0Q_000290,47,3,1248,C70SFMHqnRI_000120,turkey gobbling,1.4181671758706216e-05,False,False
144k,vggss,-S-TDT5oq0Q_000290,47,4,3211,ZVKgp2DGpcI_000021,dog bow-wow,1.5442794392583892e-05,False,False
144k,vggss,-SWaCArvQug_000021,48,1,1390,DXWEVucEPvU_000006,alarm clock ringing,1.4551314961863682e-05,False,False
144k,vggss,-SWaCArvQug_000021,48,2,5087,yk1pg24IRVo_000004,alarm clock ringing,2.5116205506492406e-05,False,False
144k,vggss,-SWaCArvQug_000021,48,3,4711,rjGjz5DolWA_000030,dog barking,2.7996937205898575e-05,False,True
144k,vggss,-SWaCArvQug_000021,48,4,1229,Bw73mqfb-0k_000045,cat hissing,2.8325846869847737e-05,False,False
144k,vggss,-Vo4CAMX26U_000030,49,1,4119,jqqjc0XrU58_000092,playing djembe,2.2429265300161205e-05,False,False
144k,vggss,-Vo4CAMX26U_000030,49,2,4418,nmRMfbrXwt0_000001,"electric shaver, electric razor shaving",2.3623659217264503e-05,False,True
144k,vggss,-Vo4CAMX26U_000030,49,3,4416,nljhIF3wxz4_000035,playing table tennis,3.112394915660843e-05,False,False
144k,vggss,-Vo4CAMX26U_000030,49,4,193,0sT6vnChbrc_000000,cat growling,3.1149687856668606e-05,False,False
144k,vggss,-W3WpZvJX2o_000027,50,1,4024,iPuIoRYYBfk_000030,people whistling,4.009967960882932e-05,False,False
144k,vggss,-W3WpZvJX2o_000027,50,2,895,8aZFjhn4U-A_000021,people battle cry,4.4763295591110364e-05,False,True
144k,vggss,-W3WpZvJX2o_000027,50,3,4703,rf_2xYkZcM4_000030,people burping,4.6849858335917816e-05,False,False
144k,vggss,-W3WpZvJX2o_000027,50,4,2684,SuRVsbK22io_000320,people burping,5.17883054271806e-05,False,False
144k,vggss,-Wd5YV97ftU_000320,51,1,873,8Hye31i3cUI_000092,"alligators, crocodiles hissing",2.6667235943023115e-05,False,False
144k,vggss,-Wd5YV97ftU_000320,51,2,5097,ywS3pG7yQfg_000161,tap dancing,2.863896770577412e-05,False,True
144k,vggss,-Wd5YV97ftU_000320,51,3,216,15Mw2jyyHk0_000030,playing bass guitar,3.389420817256905e-05,False,False
144k,vggss,-Wd5YV97ftU_000320,51,4,2221,N4yxwdPnRQk_000028,missile launch,4.0027334762271494e-05,False,False
144k,vggss,-XwtCzUaN1I_000160,52,1,2087,LataVY-O5FA_000090,disc scratching,7.43121108826017e-06,False,False
144k,vggss,-XwtCzUaN1I_000160,52,2,949,9J8sce4390s_000106,playing washboard,9.034532922669314e-06,False,False
144k,vggss,-XwtCzUaN1I_000160,52,3,2806,USlCCt8En7A_000460,people belly laughing,1.0544927135924809e-05,False,False
